idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
79,0.145017,0.390914,0.768095,0.153066,-0.708541,0.688869,-0.982958,-0.181023,-0.032014,0.003863,0.367158
80,0.140652,0.390388,0.768592,0.161935,-0.699611,0.695932,-0.973122,-0.219425,-0.069909,0.004424,0.371582
81,0.136162,0.389643,0.769045,0.162348,-0.700442,0.695000,-0.950197,-0.280864,-0.135060,0.004574,0.376157
82,0.131208,0.388584,0.769435,0.163791,-0.701062,0.694035,-0.877091,-0.397547,-0.269569,0.005081,0.381238
83,0.128422,0.388191,0.770216,0.174429,-0.696720,0.695813,-0.509854,-0.635660,-0.579642,0.002920,0.384157
84,0.130995,0.388144,0.769015,0.156853,-0.707527,0.689059,0.551058,-0.530117,-0.644447,0.002840,0.386997
85,0.135379,0.389119,0.768523,0.156684,-0.706633,0.690014,0.882654,-0.245943,-0.400542,0.004518,0.391516
86,0.140375,0.389775,0.768212,0.145104,-0.707055,0.692111,0.949698,-0.128807,-0.285453,0.005048,0.396564
87,0.144811,0.390393,0.767722,0.138469,-0.714170,0.686140,0.971828,-0.070995,-0.224745,0.004505,0.401069
88,0.149274,0.390294,0.766515,0.125054,-0.717257,0.685495,0.982200,-0.035223,-0.184507,0.004625,0.405693
89,0.153612,0.389912,0.765872,0.123721,-0.714690,0.688412,0.988304,-0.003070,-0.152468,0.004402,0.410095
90,0.158209,0.390471,0.765288,0.107381,-0.710471,0.695486,0.989393,-0.004115,-0.145208,0.004668,0.414763
91,0.163286,0.391879,0.764577,0.086899,-0.707088,0.701766,0.990263,-0.006683,-0.139051,0.005316,0.420079
92,0.167415,0.391450,0.764181,0.086681,-0.709002,0.699859,0.991036,-0.010124,-0.133208,0.004170,0.424250
93,0.171907,0.391484,0.763973,0.086463,-0.710911,0.697947,0.991581,-0.014952,-0.128624,0.004497,0.428746
94,0.177794,0.390941,0.762846,0.067460,-0.713983,0.696906,0.992024,-0.021421,-0.124214,0.006019,0.434765
95,0.183344,0.390880,0.762441,0.052542,-0.715835,0.696290,0.992534,-0.027590,-0.118810,0.005565,0.440330
96,0.187854,0.390757,0.762153,0.054462,-0.713281,0.698759,0.993133,-0.031839,-0.112574,0.004520,0.444850
97,0.192874,0.390031,0.761320,0.043505,-0.717278,0.695428,0.993623,-0.034353,-0.107392,0.005141,0.449991
98,0.197464,0.388767,0.760815,0.040287,-0.720289,0.692503,0.994060,-0.035259,-0.102967,0.004788,0.454779
99,0.201556,0.387913,0.760024,0.045276,-0.716397,0.696223,0.994528,-0.034562,-0.098590,0.004254,0.459033
100,0.205190,0.387198,0.759301,0.047965,-0.714584,0.697903,0.995196,-0.032547,-0.092336,0.003774,0.462807
101,0.208668,0.387172,0.759645,0.042908,-0.717719,0.695010,0.996030,-0.029781,-0.083888,0.003494,0.466301
102,0.212538,0.387073,0.759576,0.040017,-0.712753,0.700273,0.996889,-0.026514,-0.074222,0.003872,0.470173
103,0.216179,0.387609,0.758696,0.038502,-0.716413,0.696614,0.997718,-0.023558,-0.063272,0.003784,0.473957
104,0.219997,0.387751,0.758543,0.023577,-0.724076,0.689317,0.998446,-0.021144,-0.051561,0.003824,0.477781
105,0.223728,0.387531,0.758566,0.003941,-0.731412,0.681924,0.999052,-0.018410,-0.039459,0.003738,0.481519
106,0.227614,0.387605,0.758209,-0.012106,-0.740602,0.671835,0.999533,-0.016256,-0.025880,0.003903,0.485421
107,0.231713,0.387615,0.757721,-0.023209,-0.748079,0.663204,0.999811,-0.016228,-0.010675,0.004128,0.489550
108,0.235421,0.387337,0.757246,-0.032853,-0.754232,0.655785,0.999825,-0.017976,0.005221,0.003749,0.493298
109,0.240065,0.387485,0.756845,-0.042594,-0.764469,0.643251,0.999527,-0.021947,0.021559,0.004664,0.497962
110,0.244908,0.388342,0.756505,-0.053488,-0.774363,0.630477,0.998841,-0.029124,0.038322,0.004930,0.502892
111,0.250689,0.389391,0.756527,-0.057315,-0.788767,0.612014,0.997691,-0.040005,0.054878,0.005875,0.508767
112,0.256806,0.389957,0.757350,-0.062068,-0.809784,0.583436,0.996018,-0.054795,0.070322,0.006198,0.514965
