idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
110,0.057312,0.326036,0.683481,0.078100,-0.986023,0.147169,0.831666,-0.013906,-0.555103,0.005445,0.450799
111,0.060837,0.326053,0.679956,0.070155,-0.986085,0.150711,0.839803,-0.019890,-0.542527,0.004985,0.455784
112,0.063981,0.326065,0.676812,0.062200,-0.986073,0.154243,0.851185,-0.024894,-0.524276,0.004446,0.460230
113,0.071802,0.326483,0.673740,0.054126,-0.985992,0.157766,0.863978,-0.028661,-0.502713,0.008414,0.468644
114,0.076405,0.326624,0.672276,0.046870,-0.986286,0.158247,0.876550,-0.031656,-0.480268,0.004831,0.473475
115,0.080006,0.326311,0.668676,0.039602,-0.986597,0.158296,0.888551,-0.034181,-0.457504,0.005102,0.478577
116,0.081694,0.326164,0.666988,0.032331,-0.986856,0.158336,0.899515,-0.036363,-0.435374,0.002392,0.480969
117,0.088793,0.326098,0.665851,0.024639,-0.986642,0.161031,0.907543,-0.038925,-0.418152,0.007190,0.488159
118,0.090718,0.325967,0.664676,0.016946,-0.986362,0.163716,0.911641,-0.042259,-0.408808,0.002260,0.490418
119,0.100006,0.324427,0.657963,0.009253,-0.986017,0.166389,0.911980,-0.046039,-0.407644,0.011563,0.501981
120,0.104170,0.324228,0.657963,0.001104,-0.985365,0.170455,0.912121,-0.044472,-0.407501,0.004169,0.506150
121,0.108856,0.323990,0.657963,-0.006777,-0.984528,0.175095,0.910852,-0.042138,-0.410577,0.004691,0.510842
122,0.114067,0.323712,0.657963,-0.014173,-0.983545,0.180108,0.902806,-0.039025,-0.428273,0.005219,0.516060
123,0.119554,0.323407,0.657962,-0.023227,-0.982447,0.185093,0.869897,-0.033818,-0.492072,0.005496,0.521556
124,0.121847,0.323279,0.657963,-0.023287,-0.982580,0.184373,0.643686,-0.015013,-0.765143,0.002297,0.523853
125,0.121963,0.323273,0.657963,-0.027434,-0.981388,0.190067,-0.974265,0.051173,-0.219518,0.000116,0.523968
126,0.119747,0.323396,0.657962,-0.025361,-0.981990,0.187222,-0.994419,0.043573,0.096084,0.002219,0.526188
127,0.116400,0.323583,0.657961,-0.025301,-0.981854,0.187941,-0.984636,0.041162,0.169701,0.003352,0.529540
128,0.110913,0.323881,0.657963,-0.019050,-0.982673,0.184365,-0.976835,0.040348,0.210156,0.005496,0.535036
129,0.106029,0.324139,0.657963,-0.011671,-0.983525,0.180396,-0.970097,0.039623,0.239461,0.004890,0.539926
130,0.101744,0.324344,0.657963,-0.004009,-0.984387,0.175971,-0.963947,0.038328,0.263321,0.004290,0.544216
131,0.097438,0.324592,0.657963,0.004301,-0.985169,0.171533,-0.966836,0.029376,0.253703,0.004314,0.548529
132,0.090718,0.325895,0.664079,0.012564,-0.985837,0.167235,-0.969925,0.019266,0.242639,0.009178,0.557708
133,0.088346,0.326096,0.665851,0.023988,-0.986345,0.162934,-0.972255,0.008603,0.233766,0.002968,0.560676
134,0.083976,0.326071,0.665851,0.036250,-0.986507,0.159655,-0.973595,-0.002379,0.228269,0.004370,0.565047
135,0.080153,0.326298,0.668529,0.048516,-0.986510,0.156347,-0.974641,-0.013985,0.223336,0.004673,0.569719
136,0.077100,0.326389,0.670306,0.059164,-0.986473,0.152873,-0.975743,-0.026200,0.217348,0.003534,0.573253
137,0.072752,0.326255,0.671478,0.070390,-0.986204,0.149825,-0.976388,-0.038626,0.212544,0.004505,0.577759
138,0.068403,0.326051,0.672703,0.079664,-0.985877,0.147306,-0.976694,-0.051365,0.208398,0.004522,0.582281
139,0.064492,0.325760,0.673454,0.088176,-0.985435,0.145407,-0.977427,-0.064183,0.201291,0.003993,0.586274
140,0.060256,0.325353,0.673936,0.098283,-0.984849,0.142877,-0.978351,-0.076774,0.192186,0.004283,0.590557
141,0.055962,0.324878,0.674315,0.107387,-0.984404,0.139346,-0.979342,-0.088867,0.181638,0.004336,0.594893
142,0.051682,0.324392,0.674695,0.119753,-0.983478,0.135761,-0.980355,-0.100340,0.169810,0.004324,0.599217
143,0.047474,0.323670,0.675089,0.123680,-0.982964,0.135960,-0.981309,-0.111062,0.157156,0.004288,0.603505
