idx,x,y,z,nx,ny,nz,seg_len,cumulative_len
191,0.031220,0.328348,0.561103,-0.046073,-0.997274,-0.057629,0.003348,0.730239
192,0.032372,0.328406,0.558285,-0.046073,-0.997274,-0.057629,0.003044,0.733283
193,0.033829,0.328447,0.555808,-0.116657,-0.987468,-0.106291,0.002874,0.736157
194,0.035423,0.328465,0.553784,-0.116657,-0.987468,-0.106291,0.002577,0.738734
195,0.037057,0.328446,0.552364,-0.116657,-0.987468,-0.106291,0.002165,0.740899
196,0.034110,0.328403,0.551209,-0.116657,-0.987468,-0.106291,0.003166,0.744065
197,0.031203,0.328358,0.550054,-0.116657,-0.987468,-0.106291,0.003128,0.747193
198,0.027246,0.328344,0.549390,-0.045480,-0.997336,-0.057037,0.004012,0.751205
199,0.022746,0.328299,0.549009,0.061992,-0.996098,-0.062821,0.004517,0.755722
200,0.017365,0.328181,0.548911,0.061992,-0.996098,-0.062821,0.005383,0.761105
201,0.011260,0.327975,0.548911,0.204839,-0.965525,-0.160634,0.006108,0.767213
202,0.003174,0.327877,0.547756,0.123454,-0.962658,-0.240932,0.008169,0.775382
203,-0.000291,0.327787,0.546601,0.147460,-0.959474,-0.240135,0.003654,0.779036
204,-0.002577,0.327465,0.546601,0.147460,-0.959474,-0.240135,0.002308,0.781344
205,-0.004823,0.327149,0.546601,0.147460,-0.959474,-0.240135,0.002269,0.783613
206,-0.006749,0.326845,0.546725,0.147460,-0.959474,-0.240135,0.001953,0.785566
207,-0.007971,0.326531,0.547381,0.083963,-0.980945,-0.175206,0.001422,0.786988
208,-0.008520,0.326220,0.548541,0.083963,-0.980945,-0.175206,0.001320,0.788308
209,-0.007044,0.325756,0.551458,0.083963,-0.980945,-0.175206,0.003302,0.791611
210,-0.005777,0.325168,0.555190,0.080479,-0.981228,-0.175256,0.003985,0.795595
211,-0.005582,0.324653,0.558314,0.081479,-0.993421,-0.080469,0.003172,0.798767
212,-0.005336,0.324015,0.561914,0.081479,-0.993421,-0.080469,0.003665,0.802432
213,-0.004996,0.323434,0.565891,0.273978,-0.935903,-0.221410,0.004034,0.806465
214,-0.004724,0.322946,0.570006,0.376115,-0.866791,-0.327429,0.004152,0.810618
215,-0.004450,0.322495,0.574219,0.391955,-0.903296,-0.174435,0.004246,0.814864
216,-0.004190,0.322040,0.578421,0.171491,-0.984789,0.027941,0.004235,0.819099
217,-0.003674,0.321673,0.582412,0.170479,-0.980851,-0.094167,0.004041,0.823139
218,-0.003201,0.321352,0.586527,0.170479,-0.980851,-0.094167,0.004154,0.827293
219,-0.002745,0.320974,0.590718,0.211957,-0.974635,-0.071840,0.004233,0.831527
220,-0.002366,0.320412,0.594965,0.211957,-0.974635,-0.071840,0.004301,0.835827
221,-0.001957,0.319730,0.599123,0.202124,-0.929420,-0.308745,0.004234,0.840061
222,-0.001539,0.318988,0.603263,0.236641,-0.909788,-0.341009,0.004226,0.844287
223,-0.001087,0.318179,0.607390,0.245891,-0.945349,-0.214133,0.004230,0.848517
224,-0.000730,0.317296,0.611470,0.245891,-0.945349,-0.214133,0.004190,0.852707
225,-0.000401,0.316369,0.615443,0.206487,-0.954768,-0.213965,0.004092,0.856799
226,-0.000087,0.315545,0.619655,0.206487,-0.954768,-0.213965,0.004304,0.861103
227,0.000278,0.314997,0.624014,-0.020707,-0.962771,-0.269523,0.004408,0.865511
228,0.000606,0.314608,0.628327,-0.020707,-0.962771,-0.269523,0.004343,0.869854
229,0.000943,0.314398,0.632677,0.004985,-0.999800,0.019372,0.004368,0.874222
230,0.001243,0.314352,0.637027,0.095263,-0.580064,0.808981,0.004360,0.878583
231,0.001620,0.314462,0.641396,0.161604,-0.984015,0.074822,0.004387,0.882969
232,0.001978,0.314736,0.645819,0.239118,-0.958608,0.154577,0.004446,0.887416
233,0.002315,0.315098,0.650033,0.241473,-0.968045,0.067671,0.004243,0.891659
234,0.002557,0.315322,0.654158,0.243189,-0.969342,-0.035136,0.004138,0.895797
235,0.002804,0.315510,0.658384,0.187545,-0.981981,0.023220,0.004237,0.900034
236,0.003018,0.315679,0.662591,0.187427,-0.981363,-0.042408,0.004216,0.904250
237,0.003232,0.315887,0.666835,0.162683,-0.986534,-0.016900,0.004255,0.908505
238,0.003438,0.316163,0.671088,0.162208,-0.983651,0.078224,0.004267,0.912771
239,0.003639,0.316554,0.675306,0.162208,-0.983651,0.078224,0.004241,0.917012
240,0.003797,0.317033,0.679503,0.180717,-0.966119,0.184269,0.004227,0.921239
241,0.003921,0.317642,0.683743,0.204960,-0.956310,0.208476,0.004285,0.925524
242,0.004054,0.318285,0.687934,0.206411,-0.963083,0.172819,0.004242,0.929766
243,0.004176,0.318942,0.692093,0.306151,-0.911592,0.274355,0.004212,0.933979
244,0.004285,0.319603,0.696228,0.318992,-0.947593,0.017646,0.004189,0.938168
245,0.004419,0.320240,0.700362,0.264850,-0.961866,0.068323,0.004185,0.942353
246,0.004565,0.320852,0.704491,0.262957,-0.954992,0.137270,0.004177,0.946530
247,0.004731,0.321474,0.708547,0.262957,-0.954992,0.137270,0.004106,0.950636
248,0.004979,0.322137,0.712428,0.216362,-0.964360,0.152309,0.003946,0.954582
249,0.005188,0.322979,0.716430,0.216362,-0.964360,0.152309,0.004095,0.958676
250,0.005402,0.323883,0.720437,0.201860,-0.940376,0.273762,0.004113,0.962789
251,0.005630,0.324774,0.724185,0.130200,-0.931101,0.340732,0.003860,0.966648
252,0.005084,0.325655,0.728196,0.135417,-0.968409,0.209395,0.004143,0.970792
253,0.004513,0.326505,0.731940,0.133059,-0.968237,0.211691,0.003881,0.974673
254,0.003926,0.327241,0.735193,0.133059,-0.968237,0.211691,0.003387,0.978060
255,0.002740,0.327764,0.737963,0.134933,-0.968725,0.208242,0.003058,0.981118
256,0.001022,0.328010,0.740027,0.134933,-0.968725,0.208242,0.002697,0.983815
257,-0.001989,0.328088,0.742672,0.099120,-0.965014,0.242740,0.004008,0.987823
258,-0.005090,0.328173,0.745338,0.099120,-0.965014,0.242740,0.004091,0.991913
259,-0.007801,0.328209,0.747480,0.205431,-0.948480,0.241213,0.003455,0.995369
260,-0.011032,0.328181,0.749602,0.283015,-0.941900,0.180907,0.003865,0.999234
261,-0.014766,0.328027,0.751699,0.141763,-0.957924,0.249570,0.004285,1.003519
262,-0.018166,0.327787,0.753567,0.141763,-0.957924,0.249570,0.003887,1.007407
263,-0.021304,0.327428,0.755161,0.135740,-0.957527,0.254394,0.003538,1.010945
264,-0.023187,0.326932,0.754999,0.336754,-0.910023,0.241774,0.001954,1.012898
265,-0.024857,0.326265,0.754065,0.336754,-0.910023,0.241774,0.002026,1.014925
266,-0.026177,0.325490,0.752250,0.336754,-0.910023,0.241774,0.002374,1.017299
267,-0.026961,0.324599,0.749492,0.330237,-0.892412,0.307480,0.003002,1.020301
268,-0.027264,0.323691,0.746148,0.157557,-0.978566,0.132603,0.003479,1.023779
269,-0.027435,0.322776,0.742487,0.157173,-0.976180,0.149563,0.003778,1.027557
270,-0.027360,0.321892,0.738534,0.106905,-0.970434,0.216399,0.004051,1.031608
271,-0.027281,0.321057,0.734618,0.092869,-0.955983,0.278337,0.004006,1.035614
272,-0.027380,0.320196,0.730525,0.166027,-0.956855,0.238459,0.004183,1.039797
273,-0.027519,0.319244,0.726427,0.166644,-0.960410,0.223254,0.004210,1.044006
274,-0.027709,0.318279,0.722432,0.115782,-0.978017,0.173430,0.004114,1.048121
